Time(mS),ppg,LPF1,LPF2,LPF3,LPF4,Acc x(m/s2),Acc y(m/s2),Acc z(m/s2)
2600,2.12,28662,21846,14346,22449,0.203369,0.0098359,-0.444276
2620,2.125,28648,21835,14335,22431,0.242673,0.0227041,-0.285088
2640,2.212,28626,21817,14316,22404,0.251787,0.0277755,-0.0343564
2660,2.468,28594,21790,14289,22367,0.2577,0.0292627,0.147588
2680,2.766,28554,21756,14253,22320,0.194966,0.033529,0.0989419
2700,3.003,28503,21713,14209,22263,0.261083,0.0300439,0.250232
2720,3.068,28444,21663,14158,22199,0.199069,0.022494,0.550274
2740,3.001,28378,21606,14100,22127,0.093129,0.0371408,0.796169
2760,2.808,28306,21545,14038,22050,0.0237412,0.0357583,0.775107
2780,2.575,28231,21483,13974,21973,-0.133117,0.0284617,0.607783
2800,2.416,28157,21420,13911,21896,-0.230392,0.0189088,0.535067
2820,2.289,28087,21361,13851,21824,-0.255303,0.0179907,0.704452
2840,2.225,28022,21307,13796,21759,-0.298025,0.0157662,0.559482
2860,2.198,27968,21262,13751,21705,-0.248009,-0.00290326,0.3795
2880,2.167,27926,21227,13716,21664,-0.206573,-0.0403292,0.235854
2900,2.146,27898,21204,13695,21638,-0.286813,-0.0564809,0.334269
2920,2.172,27887,21195,13688,21629,-0.373373,-0.0425334,-0.2509
2940,2.228,27892,21200,13695,21637,-0.301114,-0.0351152,-0.358716
2960,2.276,27914,21219,13716,21661,-0.276324,-0.0379078,-0.0487044
2980,2.302,27950,21250,13751,21701,-0.204477,-0.0289345,-0.212042
3000,2.332,27999,21292,13797,21755,-0.173811,-0.00874218,-0.209473
3020,2.316,28057,21342,13852,21818,-0.213396,0.00868255,-0.211144
3040,2.313,28123,21398,13914,21889,-0.148342,0.0463871,-0.14612
3060,2.292,28191,21457,13978,21964,-0.105704,0.0648306,0.0615342
3080,2.242,28258,21517,14043,22038,-0.0756141,0.0873005,0.193052
3100,2.208,28322,21573,14105,22109,-0.0417539,0.0945782,0.140757
3120,2.163,28380,21624,14162,22174,-0.00497425,0.068698,0.201862
3140,2.158,28428,21669,14212,22229,0.027881,0.0647878,0.198729
3160,2.149,28468,21707,14254,22275,0.0980083,0.0639474,0.35734
