Time(mS),ppg,LPF1,LPF2,LPF3,LPF4,Acc x(m/s2),Acc y(m/s2),Acc z(m/s2)
2300,-2017,25342,15327,21752,15148,0.0892716,0.104439,-0.000423368
2320,2024,25338,15327,21755,15148,0.0467463,0.185656,0.0756572
2340,2047,25334,15327,21756,15146,0.0207407,0.124901,0.000534193
2360,2031,25328,15326,21754,15141,0.00584042,-0.0968054,-0.142009
2380,2047,25320,15323,21748,15131,-0.00136429,-0.150795,0.0191823
2400,2024,25311,15319,21739,15118,0.0224506,-0.0334905,0.463474
2420,2024,25300,15313,21726,15103,-0.0189515,0.0433231,0.213828
2440,2024,25289,15306,21713,15088,-0.0637579,0.106797,0.171011
2460,2024,25278,15299,21699,15074,-0.0208691,-0.0271,0.000811649
2480,2024,25269,15291,21684,15060,0.0133558,-0.1172,-0.107064
2500,2024,25259,15284,21669,15048,0.0438428,-0.0569037,0.0718899
2520,2024,25249,15275,21653,15036,0.0297268,0.0251954,0.0849648
2540,2024,25238,15265,21636,15025,-0.0337177,0.0469352,0.0593517
2560,-2022,25224,15253,21617,15014,-0.0712047,-0.0653367,-0.189112
2580,-2017,25208,15240,21597,15003,-0.0093231,0.0112677,0.0627907
2600,-2017,25191,15224,21576,14994,0.0481707,0.115651,0.307773
2620,-2017,25172,15208,21556,14986,-0.0174774,0.216916,0.170957
2640,-2017,25152,15191,21535,14977,-0.00672757,0.142159,0.148118
2660,-2022,25124,15170,21508,14964,-0.054913,-0.0284437,-0.0507865
2680,-2022,25101,15153,21487,14954,-0.0547174,-0.121096,-0.110554
2700,-2017,25077,15137,21468,14944,0.0213937,-0.00913019,0.112477
2720,-2017,25055,15122,21451,14936,0.0165616,0.190505,0.389023
2740,-2022,25037,15110,21438,14930,-0.0195191,0.0773152,0.203063
2760,-2017,25023,15101,21431,14927,0.0251736,-0.168058,-0.220256
2780,-2017,25012,15095,21427,14924,0.00812529,-0.171738,-0.269222
2800,-2022,25002,15091,21423,14918,0.0566162,-0.105542,-0.106224
2820,-2022,24994,15088,21420,14914,0.0463164,-0.0407312,-0.24716
2840,-2017,24991,15087,21423,14915,0.0185977,-0.0483909,-0.144135
2860,-2017,24994,15091,21431,14920,0.0464366,-0.0313912,-0.136863
2880,-2022,25004,15098,21446,14928,0.000448937,-0.0371601,0.0338468
2900,-2022,25022,15112,21467,14942,-0.0517059,-0.076612,0.216891
2920,-2017,25048,15130,21495,14960,-0.0383293,0.0768164,0.000948481
2940,-2017,25077,15151,21523,14977,-0.0731753,0.0271104,-0.162325
2960,-2022,25105,15172,21546,14988,-0.00264371,-0.124275,-0.116394
2980,-2017,25133,15191,21567,14996,0.0343862,-0.125321,-0.099748
3000,-2017,25162,15212,21588,15006,-0.0359047,0.0823219,0.0903867
3020,-2022,25194,15234,21611,15017,0.0126981,0.194495,0.178358
3040,-2017,25231,15259,21639,15031,0.0570164,0.0277539,-0.195092
3060,-2017,25271,15287,21669,15046,0.0145332,-0.0257817,-0.297584
3080,-2022,25309,15315,21696,15058,0.0970888,0.0254378,0.105016
3100,-2022,25340,15337,21715,15065,0.0462473,0.0632202,0.374671
3120,2024,25363,15353,21727,15068,-0.0532937,0.053723,0.208079
3140,2047,25376,15361,21730,15068,-0.0308665,0.0254684,0.0461225
3160,2031,25381,15362,21729,15066,0.00519254,0.0169436,0.137171
3180,2047,25380,15360,21727,15067,0.0817164,-0.02915,0.231526
3200,2024,25376,15356,21726,15072,-0.0217853,0.0243875,-0.236856
3220,2024,25368,15350,21723,15076,-0.146186,0.140074,0.0947667
3240,2024,25350,15337,21712,15075,-0.0771703,0.00548279,0.379022
3260,2024,25322,15317,21693,15069,-0.152008,-0.236848,-0.212677
3280,2024,25287,15292,21668,15062,-0.0596106,-0.217973,-0.0341906
3300,2024,25246,15262,21639,15051,-0.12117,0.0235416,0.445234
3320,2024,25201,15231,21607,15036,0.0618612,0.0965581,0.427861
3340,2024,25158,15202,21576,15021,-0.0683617,-0.0765868,-0.745783
3360,2024,25121,15178,21550,15008,0.239727,0.0824157,0.3605
3380,-2017,25089,15158,21525,14993,0.393843,0.00699559,-0.445626
3400,-1960,25061,15140,21501,14975,-0.178495,0.0890745,-0.328571
3420,-2017,25038,15125,21478,14957,0.393762,0.0607487,0.504587
3440,-2018,25020,15114,21458,14938,-0.332069,-0.225651,-1.00096
3460,-2019,25008,15107,21441,14921,-0.269682,-0.203858,-0.764897
3480,-2018,25003,15104,21428,14904,-0.340389,0.0656206,0.663525
3500,-2017,25006,15107,21422,14891,-0.185325,0.270706,2.02487
3520,-2022,25017,15114,21422,14882,0.0676608,0.0546296,-0.0275195
3540,-2022,25033,15125,21428,14878,-0.355279,-0.0257707,-0.619301
3560,-2017,25053,15138,21439,14878,0.286977,-0.085081,-0.193593
3580,-2017,25076,15153,21453,14881,0.236994,-0.275556,-1.55469
3600,-2022,25100,15169,21469,14888,0.329034,-0.0128366,-1.55257
3620,-2017,25123,15183,21487,14898,0.344546,0.269659,-0.108519
3640,-2017,25144,15197,21506,14909,0.133261,0.0405897,-0.0406036
3660,-2022,25163,15210,21525,14921,-0.138458,-0.022327,0.267127
3680,-2022,25180,15222,21545,14936,0.02725,0.0173964,0.574267
3700,-2017,25195,15233,21566,14953,0.0147618,0.0406507,0.657201
3720,-2017,25209,15244,21587,14971,-0.0776991,0.117588,0.632429
3740,-2022,25220,15253,21607,14990,-0.132401,0.135394,0.609695
3760,-2017,25229,15260,21625,15006,-0.146573,-0.000166335,0.60036
3780,-2017,25235,15266,21640,15020,-0.0453213,-0.121263,0.0916659
3800,-2022,25240,15270,21652,15032,-0.0440426,0.0953448,0.602928
3820,-2022,25243,15274,21663,15042,0.0633668,0.0775879,0.55155
3840,-2017,25246,15277,21671,15050,-0.036772,-0.186676,-0.0516222
3860,-2018,25247,15279,21677,15055,-0.0740097,-0.201266,-0.177597
3880,-2022,25248,15281,21680,15055,-0.0129266,-0.0731574,0.130098
3900,-2022,25247,15280,21678,15051,-0.0456009,0.104736,0.198299
3920,-2017,25244,15278,21671,15043,0.0835565,0.0253477,-0.292257
3940,1859,25239,15274,21659,15029,-0.00838329,0.0645372,-0.120337
3960,2047,25231,15268,21642,15013,-0.00276422,0.0322878,-0.171694
3980,2047,25221,15260,21622,14995,-0.0222812,-0.0780834,-0.190138
4000,2031,25210,15250,21600,14975,-0.121668,0.0498607,-0.0914862
4020,2047,25198,15240,21576,14955,0.00627647,0.090751,-0.189068
4040,2024,25186,15229,21550,14934,-0.0117489,-0.0895382,-0.579629
4060,2024,25172,15216,21522,14913,0.0379412,-0.0538089,-0.590886
4080,2024,25158,15203,21495,14894,0.120655,0.059609,-0.192731
4100,2024,25145,15190,21469,14879,0.0692217,0.17091,-0.1374
