"time,sec","ppg heart rate, bpm",wi1,wi2,wi3,wi4,"candidate heart rate, bpm",
74.16,74.524,-1.4247,1.868,-8.3761,8.2046,54.749,
75.16,74.89,0.80919,-0.6498,0.4916,-1.2201,115.63,
75.16,74.89,-0.17156,1.1445,-1.4979,2.0062,129.73,
75.16,74.89,-1.8231,1.7125,1.3187,-1.5581,92.01,
75.16,74.89,-2.0571,2.2406,-6.0315,5.8487,80.2,
76.16,75.256,0.99168,-0.67469,0.3522,-1.1929,49.072,
76.16,75.256,0.025361,0.91764,-1.1456,1.6802,55.939,
76.16,75.256,-2.2621,2.8265,-2.8999,3.1782,79.102,
76.16,75.256,-1.8571,1.8953,1.1162,-0.62755,67.383,
77.16,75.714,-0.41442,1.0506,0.16698,0.0015106,43.945,
77.16,75.714,-0.32045,-0.28867,0.3515,0.77883,75.256,
77.16,75.714,2.016,-0.82252,-1.2666,0.32891,55.023,
77.16,75.714,-1.3514,3.2387,-4.6041,3.6408,55.756,
78.16,76.263,-0.95502,1.6245,-0.18902,0.31172,44.769,
78.16,76.263,-2.0907,3.1821,-2.6247,1.3744,77.271,
78.16,76.263,-0.080317,0.83355,0.37949,-1.4208,57.037,
78.16,76.263,1.7436,0.69275,-2.4628,0.20373,53.284,
79.16,76.996,-0.49699,0.90402,0.21143,0.21026,46.6,
79.16,76.996,-0.44487,1.8029,-0.41079,-1.1184,59.052,
79.16,76.996,3.4924,-0.56365,-2.4179,-0.44642,62.164,
79.16,76.996,-3.1517,6.4294,-5.0519,1.9772,76.08,
80.16,77.545,-1.1132,1.8013,-0.13595,0.23203,47.791,
80.16,77.545,2.7464,-4.3049,2.6371,-0.89826,75.531,
80.16,77.545,0.75191,0.5308,0.28849,-1.7273,45.502,
80.16,77.545,3.1041,-1.0668,-2.3757,0.51583,61.157,
81.16,78.735,-1.3992,1.6303,0.2268,0.289,49.255,
81.16,78.735,2.029,0.35541,-2.5461,0.43414,46.509,
81.16,78.735,-3.4716,5.4206,-3.1913,1.0749,75.348,
81.16,78.735,0.77398,0.78387,0.13945,-1.8056,47.15,
82.16,81.299,0.0066598,-0.23868,0.73975,0.28808,48.798,
82.16,81.299,1.1043,-0.71198,1.037,-1.4499,51.91,
82.16,81.299,3.4549,-1.5953,-2.0603,0.33096,61.34,
82.16,81.299,-2.5699,6.6198,-4.7734,0.9403,76.263,
83.16,83.588,0.050575,-0.15957,0.66029,0.24014,49.713,
83.16,83.588,0.94803,-0.16075,0.63877,-1.4667,52.46,
83.16,83.588,3.4203,-1.1886,-2.4836,0.36244,84.869,
83.16,83.588,-3.0309,6.9754,-4.9367,1.1919,75.806,
84.16,84.412,0.14594,-0.20254,0.62675,0.22388,50.079,
84.16,84.412,1.0162,-0.25056,0.66706,-1.4906,52.643,
84.16,84.412,3.4436,-1.1574,-2.5281,0.32978,85.144,
84.16,84.412,3.0949,-7.019,4.8959,-1.1776,75.165,
85.16,83.862,0.12372,-0.1796,0.59119,0.25977,50.354,
85.16,83.862,0.9745,-0.12466,0.58007,-1.4655,53.284,
85.16,83.862,3.382,-1.1696,-2.4468,0.31956,84.686,
85.16,83.862,-2.9734,6.8241,-4.8429,1.1911,74.524,
86.16,82.123,0.062361,-0.29559,0.4832,0.54103,50.079,
86.16,82.123,0.87844,-0.1725,0.9573,-1.5434,53.558,
86.16,82.123,3.1448,-0.91449,-2.5216,0.37689,84.503,
86.16,82.123,-3.2553,7.3946,-5.2777,1.3261,73.517,
87.16,79.926,0.85337,0.11256,-0.46855,0.31899,52.368,
87.16,79.926,0.75311,-0.1036,0.67892,-1.4653,55.206,
87.16,79.926,3.5084,-1.3668,-2.4273,0.12647,80.475,
87.16,79.926,-2.6991,5.8775,-4.3783,1.4246,74.432,
88.16,79.376,0.3404,-0.37021,0.093758,0.75035,53.467,
88.16,79.376,0.54115,-0.11372,1.2487,-1.4925,53.833,
88.16,79.376,-1.8337,6.3305,-5.2518,0.93218,61.066,
88.16,79.376,4.5158,-2.2411,-2.0654,-0.27365,79.376,
89.16,79.742,-0.075734,1.4434,-0.49296,-0.11673,48.798,
89.16,79.742,-1.0679,4.3786,-3.5016,-0.08861,41.931,
89.16,79.742,1.0199,-2.0175,2.2259,-1.5328,73.7,
89.16,79.742,3.4352,-1.592,-1.7315,-0.10252,62.164,
90.16,80.658,-0.10449,0.46865,0.30589,0.20934,46.326,
90.16,80.658,0.55232,0.27422,0.11965,-1.1505,74.615,
90.16,80.658,2.3268,-0.39687,-1.5987,-0.33117,53.65,
90.16,80.658,-7.6687,25.484,-17.356,-1.5431,85.419,
91.16,81.207,-1.0358,0.60529,1.2764,-0.020623,47.699,
91.16,81.207,-1.4482,4.4579,-1.952,-1.4281,75.531,
91.16,81.207,-3.3676,-1.9962,4.4639,0.78198,82.397,
91.16,81.207,11.921,-27.766,16.45,-0.52694,81.299,
92.16,81.024,0.58205,0.17563,0.048498,0.042989,46.326,
92.16,81.024,0.71389,-0.091852,-0.7153,-0.20753,82.489,
92.16,81.024,1.1587,-0.28638,1.7573,-2.4705,79.559,
92.16,81.024,-1.4624,4.6239,-1.661,-2.0584,49.255,
93.16,79.468,-0.78825,0.1301,-0.23481,0.063173,48.889,
93.16,79.468,-1.2817,0.67282,0.26705,0.68397,48.431,
93.16,79.468,-0.075616,-0.040238,1.6511,-1.5313,79.01,
93.16,79.468,0.2007,-3.5352,1.6014,1.9416,85.693,
94.16,76.355,0.26227,0.16561,0.24874,0.24603,53.101,
94.16,76.355,0.019526,0.2889,-1.5995,1.1474,77.728,
94.16,76.355,1.8572,0.72459,-0.84372,-1.9111,69.763,
94.16,76.355,1.9521,-3.764,1.2197,1.0069,85.693,
95.16,73.425,-0.21929,0.4349,0.29044,0.39968,49.622,
95.16,73.425,-0.70141,0.036624,1.8403,-1.02,75.256,
95.16,73.425,-2.9264,-0.62539,1.6177,2.2721,71.045,
