Time(mS),ppg,LPF1,LPF2,LPF3,LPF4
5340,2.596,17766,12727,19607,11797
5360,2.598,17766,12727,19608,11797
5380,2.597,17765,12727,19610,11797
5400,2.589,17765,12727,19612,11797
5420,2.611,17764,12727,19613,11796
5440,2.58,17763,12727,19615,11796
5460,2.703,17762,12727,19616,11796
5480,3.056,17761,12727,19616,11796
5500,3.574,17760,12726,19617,11795
5520,3.992,17758,12725,19616,11794
5540,4,17755,12723,19615,11794
5560,3.985,17752,12721,19614,11793
5580,3.767,17749,12718,19612,11792
5600,3.478,17745,12716,19610,11792
5620,3.199,17740,12712,19608,11791
5640,2.941,17735,12709,19605,11790
5660,2.8,17730,12705,19603,11790
5680,2.707,17724,12702,19601,11789
5700,2.643,17718,12697,19599,11789
5720,2.576,17711,12693,19597,11788
5740,2.604,17705,12689,19596,11787
5760,2.685,17698,12685,19596,11786
5780,2.791,17691,12681,19596,11785
5800,2.864,17684,12677,19596,11784
5820,2.941,17678,12673,19597,11783
5840,2.892,17671,12669,19598,11781
5860,2.868,17665,12666,19600,11779
5880,2.818,17659,12663,19602,11777
5900,2.768,17653,12660,19604,11775
5920,2.703,17647,12657,19606,11774
5940,2.663,17642,12655,19609,11772
5960,2.6,17637,12653,19612,11770
5980,2.591,17632,12650,19615,11768
6000,2.591,17628,12648,19618,11767
6020,2.587,17624,12646,19621,11766
6040,2.625,17620,12644,19624,11764
6060,2.593,17617,12642,19626,11763
6080,2.58,17613,12640,19629,11763
6100,2.612,17610,12638,19631,11762
6120,2.719,17607,12636,19633,11761
6140,3.085,17604,12634,19635,11760
6160,3.593,17600,12631,19636,11760
6180,3.96,17597,12629,19637,11759
6200,3.998,17594,12626,19638,11758
6220,3.93,17591,12623,19638,11757
6240,3.701,17587,12621,19638,11757
6260,3.451,17584,12619,19637,11756
6280,3.199,17580,12616,19637,11756
6300,3.003,17576,12614,19636,11755
6320,2.873,17573,12612,19635,11755
6340,2.794,17569,12611,19635,11755
6360,2.735,17565,12609,19634,11755
6380,2.633,17561,12608,19634,11755
6400,2.615,17557,12606,19635,11754
6420,2.619,17553,12605,19636,11754
6440,2.65,17549,12604,19637,11754
6460,2.73,17546,12603,19639,11753
6480,2.776,17542,12602,19641,11753
6500,2.815,17539,12602,19644,11752
6520,2.825,17535,12601,19647,11751
6540,2.794,17532,12600,19650,11751
6560,2.737,17529,12599,19653,11750
6580,2.699,17526,12599,19656,11749
6600,2.628,17524,12598,19659,11748
6620,2.573,17521,12598,19662,11747
6640,2.52,17519,12597,19665,11747
6660,2.52,17517,12597,19668,11746
6680,2.524,17515,12596,19670,11745
6700,2.505,17513,12596,19673,11745
6720,2.552,17512,12595,19675,11745
6740,2.642,17510,12595,19678,11745
6760,2.638,17509,12594,19680,11745
6780,2.516,17507,12593,19682,11745
6800,2.624,17506,12592,19683,11746
6820,2.982,17505,12591,19685,11746
6840,3.55,17504,12590,19686,11746
6860,3.97,17503,12589,19687,11746
6880,3.985,17501,12588,19687,11746
6900,3.937,17500,12587,19687,11747
6920,3.747,17499,12585,19687,11747
6940,3.463,17497,12584,19686,11746
6960,3.228,17495,12583,19685,11746
6980,3.025,17494,12581,19684,11746
7000,2.915,17492,12580,19682,11745
7020,2.849,17490,12579,19680,11745
7040,2.811,17489,12577,19678,11744
7060,2.73,17487,12576,19676,11743
7080,2.628,17485,12575,19674,11743
7100,2.636,17484,12573,19672,11742
7120,2.653,17482,12572,19671,11741
7140,2.709,17481,12571,19669,11740
7160,2.735,17480,12569,19668,11739
7180,2.776,17479,12568,19667,11738
7200,2.773,17478,12567,19666,11737
7220,2.749,17477,12565,19666,11736
7240,2.735,17476,12564,19665,11735
7260,2.67,17476,12563,19666,11735
7280,2.607,17475,12562,19666,11734
7300,2.551,17475,12561,19667,11733
7320,2.535,17474,12561,19668,11733
7340,2.486,17474,12560,19670,11732
7360,2.485,17473,12560,19671,11732
7380,2.478,17473,12560,19673,11732
7400,2.477,17473,12560,19675,11732
7420,2.554,17472,12560,19677,11733
7440,2.568,17472,12560,19679,11734
7460,2.607,17472,12560,19680,11734
7480,2.587,17472,12561,19682,11735
7500,2.663,17471,12561,19684,11736
7520,3.01,17471,12561,19685,11737
7540,3.505,17471,12562,19686,11737
7560,3.954,17471,12562,19686,11738
7580,3.992,17471,12562,19687,11738
7600,3.967,17471,12562,19687,11739
7620,3.757,17472,12562,19686,11739
7640,3.529,17472,12562,19685,11739
7660,3.281,17472,12562,19684,11740
7680,3.057,17473,12563,19683,11740
7700,2.917,17473,12563,19683,11740
7720,2.878,17474,12563,19682,11741
7740,2.831,17474,12563,19681,11741
7760,2.727,17475,12564,19680,11742
7780,2.674,17475,12564,19680,11742
7800,2.604,17476,12565,19680,11743
7820,2.629,17476,12565,19681,11744
7840,2.661,17476,12566,19681,11744
7860,2.717,17477,12567,19682,11745
7880,2.755,17477,12567,19683,11746
7900,2.804,17477,12568,19685,11746
7920,2.793,17478,12569,19686,11746
7940,2.738,17478,12570,19688,11746
7960,2.696,17478,12571,19689,11746
7980,2.624,17479,12572,19691,11746
8000,2.528,17479,12572,19692,11746
8020,2.495,17479,12573,19694,11746
8040,2.481,17479,12574,19695,11746
8060,2.474,17480,12575,19697,11746
8080,2.465,17480,12575,19698,11746
8100,2.44,17480,12576,19699,11747
8120,2.458,17480,12576,19701,11747
8140,2.474,17480,12577,19702,11747
8160,2.523,17480,12577,19703,11748
8180,2.544,17480,12577,19704,11748
8200,2.541,17479,12577,19705,11748
8220,2.521,17479,12577,19706,11748
8240,2.647,17479,12577,19706,11748
8260,3.07,17478,12577,19707,11749
8280,3.571,17478,12576,19707,11749
8300,3.883,17478,12576,19706,11749
8320,3.928,17477,12576,19706,11749
8340,3.781,17477,12575,19705,11750
8360,3.527,17477,12574,19704,11750
8380,3.271,17476,12574,19703,11750
8400,3.042,17476,12573,19701,11751
8420,2.868,17476,12573,19699,11752
8440,2.812,17475,12573,19698,11753
8460,2.752,17475,12572,19696,11754
8480,2.702,17475,12572,19695,11755
8500,2.618,17475,12573,19694,11756
8520,2.576,17475,12573,19694,11756
8540,2.565,17475,12574,19693,11757
8560,2.621,17476,12575,19694,11758
8580,2.681,17476,12576,19694,11758
8600,2.744,17477,12577,19695,11758
8620,2.761,17477,12578,19696,11758
8640,2.759,17478,12580,19698,11758
8660,2.684,17478,12581,19699,11758
8680,2.629,17478,12582,19701,11757
8700,2.576,17479,12583,19703,11756
8720,2.537,17479,12584,19704,11756
8740,2.498,17479,12584,19706,11755
8760,2.493,17479,12585,19707,11754
8780,2.471,17479,12585,19708,11753
8800,2.45,17478,12585,19710,11752
8820,2.468,17478,12585,19711,11752
8840,2.467,17478,12585,19712,11751
8860,2.484,17478,12585,19713,11750
8880,2.463,17477,12585,19714,11749
8900,2.537,17477,12584,19714,11749
8920,2.538,17477,12584,19715,11748
8940,2.551,17477,12584,19716,11748
8960,2.523,17476,12583,19716,11747
8980,2.542,17476,12583,19716,11747
9000,2.8,17476,12582,19716,11747
9020,3.278,17476,12582,19715,11747
9040,3.702,17475,12581,19715,11747
9060,3.926,17475,12581,19714,11747
9080,3.883,17475,12580,19713,11747
9100,3.67,17475,12580,19711,11748
9120,3.382,17474,12579,19710,11748
9140,3.144,17474,12579,19709,11749
9160,2.931,17474,12579,19708,11750
9180,2.824,17474,12579,19706,11751
9200,2.73,17474,12579,19705,11752
9220,2.664,17474,12579,19705,11754
9240,2.596,17475,12579,19704,11755
9260,2.537,17475,12580,19704,11756
9280,2.582,17475,12581,19704,11757
9300,2.589,17476,12582,19704,11757
9320,2.67,17476,12583,19704,11758
9340,2.678,17477,12584,19705,11758
9360,2.738,17478,12585,19706,11758
9380,2.719,17478,12586,19707,11758
9400,2.689,17479,12588,19708,11758
9420,2.642,17479,12589,19709,11758
9440,2.612,17480,12589,19710,11757
9460,2.562,17480,12590,19711,11757
9480,2.531,17480,12591,19712,11757
9500,2.495,17480,12592,19714,11757
9520,2.488,17480,12592,19715,11757
9540,2.461,17480,12592,19716,11757
9560,2.443,17480,12592,19717,11757
9580,2.464,17480,12592,19718,11758
9600,2.45,17480,12592,19719,11758
9620,2.458,17480,12592,19720,11758
9640,2.499,17480,12592,19721,11759
9660,2.493,17480,12592,19721,11759
9680,2.524,17480,12592,19722,11759
9700,2.503,17480,12592,19722,11759
9720,2.509,17480,12592,19723,11759
9740,2.719,17480,12592,19723,11759
9760,3.217,17481,12592,19722,11758
9780,3.631,17481,12592,19722,11758
9800,3.894,17481,12592,19721,11758
9820,3.886,17482,12591,19720,11758
9840,3.707,17482,12591,19719,11758
9860,3.427,17482,12591,19718,11758
9880,3.196,17483,12591,19717,11759
9900,2.994,17483,12591,19715,11759
9920,2.856,17483,12591,19714,11759
9940,2.728,17484,12591,19712,11759
9960,2.652,17484,12592,19711,11759
9980,2.611,17484,12592,19710,11760
10000,2.577,17484,12593,19709,11760
10020,2.566,17485,12593,19708,11759
10040,2.619,17485,12594,19708,11759
10060,2.73,17485,12594,19708,11759
10080,2.808,17486,12595,19708,11758
10100,2.798,17486,12595,19708,11758
10120,2.777,17487,12596,19709,11758
10140,2.765,17487,12596,19710,11757
10160,2.73,17488,12597,19711,11757
10180,2.656,17488,12597,19712,11757
10200,2.6,17489,12597,19713,11757
10220,2.582,17489,12597,19715,11757
10240,2.538,17489,12597,19716,11758
10260,2.51,17490,12598,19718,11758
10280,2.477,17490,12598,19719,11759
10300,2.489,17490,12598,19721,11759
10320,2.502,17490,12598,19722,11760
10340,2.523,17490,12598,19724,11761
10360,2.516,17490,12599,19725,11761
10380,2.541,17490,12599,19727,11762
10400,2.528,17490,12599,19728,11762
10420,2.57,17490,12599,19729,11762
10440,2.548,17490,12599,19730,11763
10460,2.59,17489,12599,19731,11763
10480,2.878,17489,12599,19732,11763
10500,3.371,17488,12599,19733,11763
10520,3.853,17488,12599,19734,11763
10540,3.998,17487,12599,19734,11764
10560,3.958,17487,12599,19734,11764
10580,3.768,17486,12598,19734,11765
10600,3.505,17486,12598,19734,11765
10620,3.196,17485,12597,19733,11766
10640,2.934,17485,12597,19732,11766
10660,2.832,17484,12597,19731,11767
10680,2.685,17484,12596,19730,11768
10700,2.596,17483,12596,19730,11769
10720,2.534,17483,12596,19729,11770
10740,2.555,17483,12596,19728,11770
10760,2.577,17483,12596,19727,11771
10780,2.639,17483,12596,19727,11771
10800,2.738,17483,12597,19727,11772
10820,2.776,17483,12597,19727,11772
10840,2.824,17483,12598,19727,11772
10860,2.843,17483,12598,19727,11771
10880,2.797,17483,12599,19728,11771
10900,2.747,17483,12599,19728,11770
10920,2.666,17483,12600,19729,11769
10940,2.608,17483,12600,19730,11769
10960,2.549,17484,12601,19730,11768
10980,2.51,17484,12601,19731,11767
11000,2.52,17484,12601,19732,11767
11020,2.523,17485,12601,19733,11766
11040,2.513,17485,12601,19733,11766
11060,2.516,17486,12601,19734,11765
11080,2.524,17486,12602,19735,11765
11100,2.551,17487,12602,19735,11765
11120,2.589,17488,12602,19736,11764
11140,2.61,17489,12602,19736,11764
11160,2.593,17490,12602,19736,11764
11180,2.586,17492,12602,19736,11764
11200,2.688,17493,12603,19735,11764
11220,3.15,17495,12603,19734,11763
11240,3.722,17497,12603,19733,11763
11260,4.002,17499,12604,19732,11763
11280,4,17502,12605,19730,11763
11300,3.907,17504,12605,19728,11764
11320,3.641,17507,12606,19726,11764
11340,3.34,17510,12607,19724,11764
11360,3.082,17513,12608,19722,11765
11380,2.915,17516,12609,19719,11766
11400,2.756,17520,12611,19717,11767
11420,2.622,17523,12613,19715,11768
11440,2.551,17527,12615,19712,11769
11460,2.537,17530,12617,19711,11770
11480,2.555,17534,12619,19709,11771
11500,2.639,17537,12622,19707,11772
11520,2.747,17541,12625,19706,11772
11540,2.801,17544,12627,19705,11773
11560,2.859,17548,12630,19705,11773
11580,2.849,17551,12633,19704,11773
11600,2.832,17555,12636,19704,11774
11620,2.796,17558,12638,19703,11774
11640,2.723,17561,12641,19703,11774
11660,2.679,17565,12643,19703,11774
11680,2.607,17568,12645,19703,11774
11700,2.565,17571,12648,19703,11774
11720,2.561,17574,12650,19703,11775
11740,2.526,17577,12652,19703,11775
11760,2.495,17580,12654,19703,11776
11780,2.498,17583,12656,19704,11776
11800,2.505,17587,12658,19704,11776
11820,2.531,17590,12660,19705,11777
11840,2.535,17593,12662,19705,11777
11860,2.5,17596,12664,19706,11777
11880,2.559,17600,12666,19706,11777
11900,2.789,17603,12668,19705,11777
11920,3.262,17606,12670,19705,11777
11940,3.723,17610,12672,19704,11776
11960,3.912,17613,12674,19703,11776
11980,3.853,17617,12676,19701,11776
12000,3.631,17621,12678,19699,11776
12020,3.323,17624,12680,19696,11776
12040,3.018,17628,12682,19694,11777
12060,2.829,17632,12684,19691,11778
12080,2.696,17636,12686,19689,11779
12100,2.601,17640,12688,19687,11780
12120,2.53,17644,12691,19685,11781
12140,2.457,17648,12693,19683,11783
12160,2.423,17652,12695,19682,11784
12180,2.491,17656,12698,19681,11786
12200,2.642,17660,12700,19681,11787
12220,2.749,17663,12703,19681,11789
12240,2.817,17667,12705,19681,11790
12260,2.829,17670,12708,19682,11792
12280,2.8,17673,12710,19682,11793
12300,2.749,17676,12713,19683,11794
12320,2.684,17679,12715,19684,11795
12340,2.649,17682,12717,19685,11796
12360,2.604,17684,12719,19686,11796
12380,2.594,17687,12722,19687,11797
12400,2.52,17690,12724,19688,11798
12420,2.519,17693,12726,19689,11799
12440,2.52,17696,12728,19690,11800
12460,2.495,17700,12730,19691,11801
12480,2.505,17703,12732,19693,11801
12500,2.467,17706,12734,19693,11802
12520,2.506,17709,12736,19694,11802
12540,2.555,17712,12738,19695,11802
12560,2.773,17715,12740,19695,11802
12580,3.231,17718,12741,19695,11802
12600,3.686,17721,12743,19695,11802
12620,3.89,17723,12744,19694,11802
12640,3.816,17726,12745,19693,11802
12660,3.6,17728,12746,19693,11801
12680,3.304,17730,12747,19691,11801
12700,3.057,17732,12748,19690,11802
12720,2.804,17734,12749,19689,11802
12740,2.685,17735,12751,19688,11803
12760,2.544,17737,12752,19688,11804
12780,2.46,17740,12753,19687,11805
12800,2.428,17742,12755,19687,11806
12820,2.485,17744,12756,19686,11808
12840,2.562,17746,12757,19686,11809
12860,2.689,17748,12759,19686,11811
12880,2.779,17750,12760,19687,11812
12900,2.867,17752,12761,19687,11813
12920,2.835,17754,12762,19687,11813
12940,2.824,17755,12763,19687,11814
12960,2.735,17756,12764,19688,11814
12980,2.675,17757,12764,19688,11813
13000,2.668,17758,12765,19688,11813
13020,2.582,17759,12766,19688,11812
